P_high_MPa,Q_sink_kW,COP,T1_C,T2_C,T3_C,T4_C,T5_C,T6_C,superheat_K,m_CO2_kg_s,m_steam_kg_h,W_electric_kW,Q_evaporator_kW,x5,IHX_heat_kW,IHX_min_approach_K,gas_cooler_min_approach_K,pinch_location,valid,invalid_reason
25.75,120.0,1.6772633536165802,51.07965726667965,278.98140895399956,77.66566646652973,46.10794346877725,4.547473508864641e-13,0.0,51.07965726667919,0.3560841535127564,167.73103256994833,71.5451152863093,52.03214047800616,0.36714001344286185,24.192222105446227,26.586009199850082,5.000000000000455,0.11371237458193979,True,
26.0,120.0,1.6769119098513405,50.958024732439696,280.0639759542473,77.48277620654278,45.82798177723049,4.547473508864641e-13,0.0,50.95802473243924,0.3541268232059807,167.73103256994833,71.56010956511012,52.01789591314539,0.3638162811356771,24.010670863891477,26.524751474103084,5.000000000000341,0.11371237458193979,True,
26.25,120.0,1.676490584037459,50.837470025845164,281.1369928235181,77.30148441781046,45.55359719831279,4.547473508864641e-13,0.0,50.83747002584471,0.35222039655154663,167.73103256994833,71.57809363355109,52.00081104812645,0.3605829562350235,23.83351242398403,26.464014391965293,5.0000000000001705,0.11371237458193979,True,
26.5,120.0,1.6760036803028997,50.71799489705688,282.2006651502056,77.12179431584849,45.2846399190866,4.547473508864641e-13,0.0,50.71799489705643,0.35036261054219564,167.73103256994833,71.59888812315299,51.98105628300467,0.3574366671146294,23.66056757642755,26.403799418791607,4.9999999999998295,0.11371237458193979,True,
26.75,120.0,1.6754552425998974,50.59959921883325,283.2551904092684,76.943706288692,45.02096235744432,4.547473508864641e-13,0.0,50.59959921883279,0.34855133626939266,167.73103256994833,71.62232505464563,51.95879119808667,0.35437419639985224,23.491666956158006,26.34410706985875,4.999999999999488,0.11371237458193979,True,
27.0,120.0,1.674849070176657,50.482281286490036,284.30075858678515,76.76721834644485,44.762419553761845,4.547473508864641e-13,0.0,50.48228128648958,0.346784569401933,167.73103256994833,71.64824707896983,51.934165274978675,0.35139247403846785,23.326650422842285,26.284937059954814,4.99999999999892,0.11371237458193979,True,
27.25,120.0,1.6741887342804929,50.36603792396761,285.33755249622527,76.5923262794501,44.50886932977153,4.547473508864641e-13,0.0,50.366037923967156,0.34506042126248926,167.73103256994833,71.67650668224796,51.90731865186445,0.3484885692056352,23.165366411104646,26.226288355482495,4.999999790967479,0.11371237458193979,True,
27.5,120.0,1.6734775844874639,50.250865253718985,286.365749142,76.41902481553063,44.26017310915131,4.547473508864641e-13,0.0,50.25086525371853,0.34337711141212723,167.73103256994833,71.70696584905403,51.878382443398685,0.34565968882914955,23.00767164635259,26.16815956181165,4.999999768705436,0.11371237458193979,True,
27.75,120.0,1.6727187731629436,50.13675805208754,287.3855188441671,76.24730664926778,44.016195245861354,4.547473508864641e-13,0.0,50.13675805208709,0.34173295927862063,167.73103256994833,71.73949496190087,51.84747978619418,0.34290316371591234,22.853430249057727,26.11054859718024,4.9999997527033315,0.11371237458193979,True,
28.0,120.0,1.6719152608576238,50.023710413216406,288.3970264268121,76.07716344016058,43.776803692540796,4.547473508864641e-13,0.0,50.02371041321595,0.3401263779228938,167.73103256994833,71.77397252684023,51.81472609950178,0.34021644714596433,22.70251349957841,26.05345302694417,4.9999997438675905,0.11371237458193979,True,
